name,description,category,fraction,points,icon_url
Realm First! Sinestra,First guild on the realm to defeat Sinestra in the Bastion of Twilight on Heroic difficulty while in a guild group.,Guild Feats of Strength,,,https://icons.wowdb.com/retail/medium/achievement_dungeon_bastion_of_twilight_ladysinestra.jpg?41793
Tol Barad Victory,Win the battle for Tol Barad.,Tol Barad,,10,https://icons.wowdb.com/retail/medium/achievement_zone_tolbarad.jpg?41793
Tower Plower,Destroy a tower in Tol Barad.,Tol Barad,,10,https://icons.wowdb.com/retail/medium/spell_arcane_teleporttheramore.jpg?41793
Pit Lord Argaloth,Defeat the Pit Lord Argaloth.,Tol Barad,,10,https://icons.wowdb.com/retail/medium/achievement_boss_magtheridon.jpg?41793
Tol Barad Veteran,Win 25 battles for Tol Barad.,Tol Barad,alliance,10,https://icons.wowdb.com/retail/medium/achievement_zone_tolbarad.jpg?41793
Tol Barad Veteran,Win 25 battles for Tol Barad.,Tol Barad,horde,10,https://icons.wowdb.com/retail/medium/achievement_zone_tolbarad.jpg?41793
It All Really Adds Up,"Spend 100,000 gold on guildmember repairs.",General,,10,https://icons.wowdb.com/retail/medium/achievement_guildperk_cashflow_rank2.jpg?41793
That's a Lot of Travel Time,"Complete 25,000 quests.",Quests,,10,https://icons.wowdb.com/retail/medium/achievement_general_25kquests.jpg?41793
A Daily Routine,"Complete 15,000 daily quests.",Quests,,10,https://icons.wowdb.com/retail/medium/achievement_general_25kdailyquests.jpg?41793
Baradin Hold Guild Run,Defeat the bosses in Baradin Hold while in a guild group.,Cataclysm Raid,,10,https://icons.wowdb.com/retail/medium/achievement_zone_tolbarad.jpg?41793
Guild Rivals,Earn the Rival title on all of the classes below.,Arena,,10,https://icons.wowdb.com/retail/medium/achievement_featsofstrength_gladiator_08.jpg?41793
Guild Duelists,Earn the Duelist title on all of the classes below.,Arena,,10,https://icons.wowdb.com/retail/medium/achievement_featsofstrength_gladiator_09.jpg?41793
Guild Gladiators,Earn the Gladiator title on all of the classes below.,Arena,,,https://icons.wowdb.com/retail/medium/achievement_featsofstrength_gladiator_10.jpg?41793
Guild Commanders,Earn the Commander title on all of the classes below.,Battlegrounds,alliance,10,https://icons.wowdb.com/retail/medium/achievement_pvp_a_11.jpg?41793
Guild Champions,Earn the Champion title on all of the classes below.,Battlegrounds,horde,10,https://icons.wowdb.com/retail/medium/achievement_pvp_h_11.jpg?41793
Guild Marshals,Earn the Marshal title on all of the classes below.,Battlegrounds,alliance,10,https://icons.wowdb.com/retail/medium/achievement_pvp_a_12.jpg?41793
Guild Generals,Earn the General title on all of the classes below.,Battlegrounds,horde,10,https://icons.wowdb.com/retail/medium/achievement_pvp_h_12.jpg?41793
Guild Field Marshals,Earn the Field Marshal title on all of the classes below.,Battlegrounds,alliance,10,https://icons.wowdb.com/retail/medium/achievement_pvp_a_13.jpg?41793
Guild Warlords,Earn the Warlord title on all of the classes below.,Battlegrounds,horde,10,https://icons.wowdb.com/retail/medium/achievement_pvp_h_13.jpg?41793
Guild Grand Marshals,Earn the Grand Marshal title on all of the classes below.,Battlegrounds,alliance,15,https://icons.wowdb.com/retail/medium/achievement_pvp_a_14.jpg?41793
Guild High Warlords,Earn the High Warlord title on all of the classes below.,Battlegrounds,horde,15,https://icons.wowdb.com/retail/medium/achievement_pvp_h_14.jpg?41793
Guild Battlemasters,Earn the Battlemaster title on all of the classes below.,Guild Feats of Strength,horde,,https://icons.wowdb.com/retail/medium/achievement_pvp_h_15.jpg?41793
Guild Battlemasters,Earn the Battlemaster title on all of the classes below.,Guild Feats of Strength,alliance,,https://icons.wowdb.com/retail/medium/achievement_pvp_a_15.jpg?41793
Full Caravan,Recruit all 8 characters into Fiona's travelling party in Eastern Plaguelands.,Eastern Kingdoms,,10,https://icons.wowdb.com/retail/medium/inv_misc_crop_02.jpg?41793
E'ko Madness,Obtain E'ko from the following creatures in Winterspring.,Kalimdor,,10,https://icons.wowdb.com/retail/medium/inv_misc_monsterscales_19.jpg?41793
"Ready, Set, Goat!","Using the Billy Goat Blaster or the Billy Goat Blaster DX, blast 12 Billy Goats in under 1 minute.",Eastern Kingdoms,,10,https://icons.wowdb.com/retail/medium/inv_misc_desecrated_plategloves.jpg?41793
Fungalophobia,"Defeat Fungalmancer Glop during the Glop, Son of Glop daily quest in Deepholm without taking any damage from his Boomshrooms.",Cataclysm,,10,https://icons.wowdb.com/retail/medium/inv_mushroom_06.jpg?41793
The Glop Family Line,"Complete the Glop, Son of Glop daily quest in Deepholm 10 times.",Cataclysm,,10,https://icons.wowdb.com/retail/medium/inv_mushroom_12.jpg?41793
My Very Own Broodmother,Complete the Restless Brood daily quest in Deepholm within 90 seconds of striking the Resonating Crystal.,Cataclysm,,10,https://icons.wowdb.com/retail/medium/achievement_dungeon_the_stonecore_slabhide.jpg?41793
Glutton for Fiery Punishment,"In Archmage Xylem's Trial of Fire in Azshara, gain 10 stacks of Fire Dancing without taking damage.",Kalimdor,,10,https://icons.wowdb.com/retail/medium/ability_mage_potentspirit.jpg?41793
Rock Lover,Complete the Lost in the Deeps daily quest in Deepholm 10 times.,Cataclysm,,10,https://icons.wowdb.com/retail/medium/spell_nature_earthelemental_totem.jpg?41793
Fungal Frenzy,"Suffer the effects of a Poolstool, Shuffletruffle, Shrinkshroom and Trapcap simultaneously.",Cataclysm,,10,https://icons.wowdb.com/retail/medium/inv_mushroom_07.jpg?41793
Consumed by Nightmare,Endure the nightmares of Iso'rath in the Twilight Highlands.,Cataclysm,,10,https://icons.wowdb.com/retail/medium/inv_jewelry_ring_ahnqiraj_05.jpg?41793
Visions of Vashj'ir Past,Witness the 3 visions of the Naz'jar Battlemaiden in Vashj'ir.,Cataclysm,,10,https://icons.wowdb.com/retail/medium/achievement_boss_ladyvashj.jpg?41793
Ghosts in the Dark,Discover the secret buried beneath the Maw of the Void in Darkshore.,Kalimdor,alliance,10,https://icons.wowdb.com/retail/medium/achievement_boss_illidan.jpg?41793
Joy Ride,Ride the full length of the Rocketway in Azshara.,Kalimdor,horde,10,https://icons.wowdb.com/retail/medium/ability_mount_rocketmount.jpg?41793
Got My Mind On My Money,"Loot 50,000 gold.",Character,,10,https://icons.wowdb.com/retail/medium/inv_misc_coin_01.jpg?41793
Got My Mind On My Money,"Loot 100,000 gold.",Character,,10,https://icons.wowdb.com/retail/medium/inv_misc_coin_01.jpg?41793
The Pen is Mightier,"Create 2,500 glyphs.",Professions,,10,https://icons.wowdb.com/retail/medium/inv_inscription_minorglyph20.jpg?41793
Call of Battle,Win a ranked arena match while in a guild group.,Arena,,10,https://icons.wowdb.com/retail/medium/achievement_arena_2v2_1.jpg?41793
Making History,Complete 500 unique Archaeology research projects.,Professions,,10,https://icons.wowdb.com/retail/medium/trade_archaeology.jpg?41793
Heroic: Cho'gall Guild Run,Defeat Cho'gall in the Bastion of Twilight on Heroic difficulty while in a guild group.,Cataclysm Raid,,10,https://icons.wowdb.com/retail/medium/achievement_dungeon_bastion_of_twilight_chogall_boss.jpg?41793
Heroic: Nefarian Guild Run,Defeat Nefarian in Blackwing Descent on Heroic difficulty while in a guild group.,Cataclysm Raid,,10,https://icons.wowdb.com/retail/medium/achievement_dungeon_blackwingdescent_raid_nefarian.jpg?41793
Heroic: Al'Akir Guild Run,Defeat Al'Akir in the Throne of the Four Winds on Heroic difficulty while in a guild group.,Cataclysm Raid,,10,https://icons.wowdb.com/retail/medium/achievement_boss_murmur.jpg?41793
Heroic: Sinestra Guild Run,Defeat Sinestra in the Bastion of Twilight on Heroic difficulty while in a guild group.,Cataclysm Raid,,10,https://icons.wowdb.com/retail/medium/achievement_dungeon_bastion_of_twilight_ladysinestra.jpg?41793
Mix Master,"Create 1,000 Cataclysm flasks.",Professions,,10,https://icons.wowdb.com/retail/medium/inv_alchemy_endlessflask_04.jpg?41793
Time to Open a Restaurant,"Cook 10,000 Cataclysm cooking recipes.",Professions,,10,https://icons.wowdb.com/retail/medium/inv_misc_food_157_fish_80.jpg?41793
"Set the Oven to ""Cataclysmic""","Cook 5,000 Cataclysm cooking recipes.",Professions,,10,https://icons.wowdb.com/retail/medium/inv_misc_food_99.jpg?41793
Like Shooting Fish in a Barrel,"Catch 50,000 fish from fishing pools.",Professions,,10,https://icons.wowdb.com/retail/medium/inv_misc_fish_78.jpg?41793
Diggerer,Find 50 unique common artifacts.,Archaeology,,10,https://icons.wowdb.com/retail/medium/trade_archaeology_nerubian_artifactfragment.jpg?41793
Diggerest,Find 100 unique common artifacts.,Archaeology,,10,https://icons.wowdb.com/retail/medium/trade_archaeology_nerubian_artifactfragment.jpg?41793
Iron Chef,Learn 200 cooking recipes.,Cooking,,10,https://icons.wowdb.com/retail/medium/inv_misc_food_161_fish_89.jpg?41793
The Cataclysmic Gourmet,Cook 15 of the Cataclysm recipes listed below.,Cooking,,10,https://icons.wowdb.com/retail/medium/inv_misc_food_142_fish.jpg?41793
The Cataclysmic Gourmet,Cook 30 of the Cataclysm recipes listed below.,Cooking,,10,https://icons.wowdb.com/retail/medium/inv_misc_food_143_fish.jpg?41793
Let's Do Lunch: Stormwind,Complete each of the Stormwind cooking daily quests.,Cooking,alliance,10,https://icons.wowdb.com/retail/medium/inv_misc_food_19.jpg?41793
Let's Do Lunch: Orgrimmar,Complete each of the Orgrimmar cooking daily quests.,Cooking,horde,10,https://icons.wowdb.com/retail/medium/inv_misc_food_42.jpg?41793
Fish or Cut Bait: Stormwind,Complete each of the Stormwind fishing daily quests.,Fishing,alliance,10,https://icons.wowdb.com/retail/medium/inv_fishingpole_03.jpg?41793
Fish or Cut Bait: Orgrimmar,Complete each of the Orgrimmar fishing daily quests.,Fishing,horde,10,https://icons.wowdb.com/retail/medium/inv_fishingpole_03.jpg?41793
The Limnologist,Catch 42 different freshwater fish.,Fishing,,10,https://icons.wowdb.com/retail/medium/inv_misc_fish_30.jpg?41793
The Oceanographer,Catch 31 different saltwater fish.,Fishing,,10,https://icons.wowdb.com/retail/medium/inv_misc_fish_61.jpg?41793
Preparing for Disaster,Create 500 Dense Embersilk Bandages.,Professions,,,https://icons.wowdb.com/retail/medium/inv_emberweavebandage2.jpg?41793
Wildhammer Tour of Duty,Explore all the nooks and crannies of the Thundermar Ruins in Twilight Highlands and impress your Wildhammer allies by killing the following.,Cataclysm,alliance,10,https://icons.wowdb.com/retail/medium/inv_misc_tabard_wildhammerclan.jpg?41793
Dragonmaw Tour of Duty,Explore all the nooks and crannies of the Thundermar Ruins in Twilight Highlands and impress your Dragonmaw allies by killing the following.,Cataclysm,horde,10,https://icons.wowdb.com/retail/medium/inv_misc_tabard_dragonmawclan.jpg?41793
Bounce,Stay on the trampoline in the Whistling Grove in Mount Hyjal for 20 consecutive bounces.,Cataclysm,,10,https://icons.wowdb.com/retail/medium/ability_vehicle_launchplayer.jpg?41793
Tol Barad All-Star,"Get 10 honorable kills at the Ironclad Garrison, Warden's Vigil, and Slagworks.",Tol Barad,,10,https://icons.wowdb.com/retail/medium/achievement_bg_killingblow_startingrock.jpg?41793
Tol Barad Saboteur,Destroy 20 deployed Siege Engines.,Tol Barad,,10,https://icons.wowdb.com/retail/medium/ability_vehicle_siegeenginecannon.jpg?41793
Towers of Power,Destroy 3 Siege Engines in a single Tol Barad battle.,Tol Barad,,10,https://icons.wowdb.com/retail/medium/ability_vehicle_siegeengineram.jpg?41793
Master of Tol Barad,Complete the Tol Barad achievements listed below.,Tol Barad,alliance,10,https://icons.wowdb.com/retail/medium/inv_banner_tolbarad_alliance.jpg?41793
Master of Tol Barad,Complete the Tol Barad achievements listed below.,Tol Barad,horde,10,https://icons.wowdb.com/retail/medium/inv_banner_tolbarad_horde.jpg?41793
Guild Level 25,Reach guild level 25.,Guild Feats of Strength,horde,,https://icons.wowdb.com/retail/medium/achievement_guild_level25.jpg?41793
Fading into Twilight,Complete the Twilight Highlands storylines listed below.,Cataclysm,horde,10,https://icons.wowdb.com/retail/medium/achievement_quests_completed_twilighthighlands.jpg?41793
Pardon Denied,Defeat Baron Ashbury without letting him heal with Stay of Execution in Shadowfang Keep on Heroic Difficulty.,Cataclysm Dungeon,,10,https://icons.wowdb.com/retail/medium/ability_rogue_stayofexecution.jpg?41793
To the Ground!,Defeat Commander Springvale without allowing him to receive Unholy Empowerment in Shadowfang Keep on Heroic Difficulty.,Cataclysm Dungeon,,10,https://icons.wowdb.com/retail/medium/spell_holy_sealofblood.jpg?41793
Bullet Time,Defeat 12 Bloodthirsty Ghouls with Pistol Barrage and then defeat Lord Godfrey in Shadowfang Keep on Heroic Difficulty.,Cataclysm Dungeon,,10,https://icons.wowdb.com/retail/medium/inv_misc_ammo_bullet_05.jpg?41793
Defender of a Shattered World,Complete the raids and Heroic dungeons listed below.,Dungeons & Raids,,10,https://icons.wowdb.com/retail/medium/achievement_zone_cataclysm.jpg?41793
It's Always in the Last Place You Look,Recover archaeology artifacts from each of the following races.,Archaeology,,10,https://icons.wowdb.com/retail/medium/trade_archaeology_tuskarr_artifactfragment.jpg?41793
WoW's 6th Anniversary,Logged in during WoW's 6th Anniversary.,Events,,,https://icons.wowdb.com/retail/medium/inv_misc_celebrationcake_01.jpg?41793
Stood in the Fire,Get killed by Deathwing.,Cataclysm,,10,https://icons.wowdb.com/retail/medium/spell_fire_fire.jpg?41793
Veteran of the Shifting Sands,Completed the gates of Ahn'Qiraj quest chain up to and including Treasure of the Timeless One (even if someone else ended up with the mount).,Events,,,https://icons.wowdb.com/retail/medium/achievement_zone_silithus_01.jpg?41793
1000 Valor Points,Earn 1000 Valor Points.,Currencies,,,https://icons.wowdb.com/retail/medium/pvecurrency_valor.jpg?41793
5000 Valor Points,Earn 5000 Valor Points.,Currencies,,,https://icons.wowdb.com/retail/medium/pvecurrency_valor.jpg?41793
"25,000 Valor Points","Earn 25,000 Valor Points.",Currencies,,,https://icons.wowdb.com/retail/medium/pvecurrency_valor.jpg?41793
"50,000 Valor Points","Earn 50,000 Valor Points.",Currencies,,,https://icons.wowdb.com/retail/medium/pvecurrency_valor.jpg?41793
"50,000 Conquest Points","Earn 50,000 Conquest Points",Currencies,,,https://icons.wowdb.com/retail/medium/achievement_bg_winwsg.jpg?41793
"25,000 Conquest Points","Earn 25,000 Conquest Points",Currencies,,,https://icons.wowdb.com/retail/medium/achievement_bg_winwsg.jpg?41793
5000 Conquest Points,Earn 5000 Conquest Points,Currencies,,,https://icons.wowdb.com/retail/medium/achievement_bg_winwsg.jpg?41793
1000 Conquest Points,Earn 1000 Conquest Points,Currencies,,,https://icons.wowdb.com/retail/medium/achievement_bg_winwsg.jpg?41793
Glutton for Icy Punishment,"In Archmage Xylem's Trial of Frost in Azshara, gain 20 stacks of Essence of Ice without taking damage.",Kalimdor,,10,https://icons.wowdb.com/retail/medium/ability_mage_potentspirit.jpg?41793
Glutton for Shadowy Punishment,"In Archmage Xylem's Trial of Shadow in Azshara, trap 20 Weeping Souls without taking damage.",Kalimdor,,10,https://icons.wowdb.com/retail/medium/ability_mage_potentspirit.jpg?41793
To All the Squirrels Who Cared for Me,The Cataclysm has brought more critters to Azeroth. You must /love them too.,Cataclysm,,10,https://icons.wowdb.com/retail/medium/inv_jewelcrafting_crimsonhare.jpg?41793
Double Jeopardy,Win a Twin Peaks battle after being behind by a score of 0 to 2.,Twin Peaks,horde,10,https://icons.wowdb.com/retail/medium/achievement_doublejeopardyhorde.jpg?41793
Just Another Day in Tol Barad,Complete all of the Tol Barad daily quests listed below.,Tol Barad,alliance,10,https://icons.wowdb.com/retail/medium/achievement_zone_tolbarad.jpg?41793
Just Another Day in Tol Barad,Complete all of the Tol Barad daily quests listed below.,Tol Barad,horde,10,https://icons.wowdb.com/retail/medium/achievement_zone_tolbarad.jpg?41793
50 Exalted Reputations,Raise 50 reputations to Exalted.,Reputation,,10,https://icons.wowdb.com/retail/medium/achievement_reputation_08.jpg?41793
It's Not Easy Being Green,"Do not get hit by Bloodvenom, Pool of Acrid Tears, or Venomous Effusion in the High Priest Venoxis encounter in Zul'Gurub on Heroic Difficulty.",Cataclysm Dungeon,,10,https://icons.wowdb.com/retail/medium/ability_creature_poison_06.jpg?41793
Gurubashi Headhunter,"Defeat Gub, Mortaxx, Kaulema, Mor'Lek, the Florawing Hive Queen, a Lost Offspring of Gahz'ranka, Tor-Tun, and the Gurubashi Master Chef in Zul'Guru...",Cataclysm Dungeon,,10,https://icons.wowdb.com/retail/medium/inv_spear_02.jpg?41793
Vial of the Sands,Learn how to transform into a dragon and carry an ally.,Mounts,,10,https://icons.wowdb.com/retail/medium/inv_alchemy_potion_06.jpg?41793
Tunnel Vision,Defeat Halazzi in Zul'Aman on Heroic Difficulty without killing any of his totems.,Cataclysm Dungeon,,10,https://icons.wowdb.com/retail/medium/spell_totem_wardofdraining.jpg?41793
2500 Daily Quests Completed,Complete 2500 daily quests.,Quests,,10,https://icons.wowdb.com/retail/medium/achievement_quests_completed_daily_05.jpg?41793
Justly Rewarded,"Make 30,000 gold from quest rewards.",Quests,,10,https://icons.wowdb.com/retail/medium/inv_misc_coin_16.jpg?41793
Cataclysmically Delicious,Sample the following Cataclysm delicacies.,Cataclysm,,20,https://icons.wowdb.com/retail/medium/inv_misc_food_115_condorsoup.jpg?41793
Drown Your Sorrows,Drink the following Cataclysm beverages.,Cataclysm,,10,https://icons.wowdb.com/retail/medium/inv_misc_beer_04.jpg?41793
Thirty Tabards,Collect 30 tabard slot appearances.,Collections,,10,https://icons.wowdb.com/retail/medium/inv_chest_cloth_30.jpg?41793
Spirit Twister,Defeat 20 Twisted Spirits within 15 seconds during the Jin'do encounter in Zul'Gurub on Heroic Difficulty.,Cataclysm Dungeon,,10,https://icons.wowdb.com/retail/medium/ability_creature_cursed_05.jpg?41793
Ring Out!,Defeat Daakara in Zul'Aman on Heroic Difficulty without any player leaving the rectangular turquoise stonework inscribed on the floor in the center...,Cataclysm Dungeon,,10,https://icons.wowdb.com/retail/medium/ability_vehicle_launchplayer.jpg?41793
Hex Mix,Un-hex all of the potential hex victims in Zul'Aman on Heroic Difficulty.,Cataclysm Dungeon,,10,https://icons.wowdb.com/retail/medium/spell_shaman_hex.jpg?41793
Ohganot So Fast!,Defeat Bloodlord Mandokir in Zul'Gurub on Heroic Difficulty without killing Ohgan.,Cataclysm Dungeon,,10,https://icons.wowdb.com/retail/medium/ability_mount_fossilizedraptor.jpg?41793
"Here, Kitty Kitty...",Defeat High Priestess Kilnara in Heroic Difficulty after having fed Temple Rats to 4 of Bethekk's Pride.,Cataclysm Dungeon,,10,https://icons.wowdb.com/retail/medium/achievement_rat.jpg?41793
Scourer of the Eternal Sands,Obtain the reins of the Grey Riding Camel from Dormus the Camel-Hoarder.,Mounts,,,https://icons.wowdb.com/retail/medium/ability_mount_camel_gray.jpg?41793
Heroic: Zul'Gurub,Defeat Jin'do the Godbreaker in Zul'Gurub on Heroic Difficulty.,Cataclysm Dungeon,,10,https://icons.wowdb.com/retail/medium/achievement_zulgurub_jindo.jpg?41793
Heroic: Zul'Aman,Defeat Daakara in Zul'Aman on Heroic Difficulty.,Cataclysm Dungeon,,10,https://icons.wowdb.com/retail/medium/achievement_zul_aman_daakara.jpg?41793
Heroic: Zul'Gurub Guild Run,Defeat Jin'do the Godbreaker in Zul'Gurub on Heroic difficulty while in a guild group.,Cataclysm Dungeon,,10,https://icons.wowdb.com/retail/medium/achievement_zulgurub_jindo.jpg?41793
Heroic: Zul'Aman Guild Run,Defeat Daakara in Zul'Aman on Heroic difficulty while in a guild group.,Cataclysm Dungeon,,10,https://icons.wowdb.com/retail/medium/achievement_zul_aman_daakara.jpg?41793
You'll Feel Right as Rain,Feel 1000% better by eating Chocolate Cookies.,Cooking,,10,https://icons.wowdb.com/retail/medium/inv_misc_food_150_cookie.jpg?41793
You Have Been Challenged,Complete a guild challenge.,General,,10,https://icons.wowdb.com/retail/medium/achievement_bg_masterofallbgs.jpg?41793
Challenging,Complete 50 guild challenges.,General,,10,https://icons.wowdb.com/retail/medium/inv_helm_robe_pvppriest_c_02.jpg?41793
A Difficult Challenge,Complete 100 guild challenges.,General,,10,https://icons.wowdb.com/retail/medium/inv_helm_robe_raidmage_i_01.jpg?41793
Raid Challenges,Complete 50 guild raid challenges.,General,,10,https://icons.wowdb.com/retail/medium/achievement_boss_onyxia.jpg?41793
Rated Battleground Challenges,Complete 50 guild rated battleground challenges.,General,,10,https://icons.wowdb.com/retail/medium/achievement_bg_killxenemies_generalsroom.jpg?41793
Dungeon Challenges,Complete 50 guild dungeon challenges.,General,,10,https://icons.wowdb.com/retail/medium/axe_1h_horde_d_04_icon.jpg?41793
Agent of the Shen'dralar,Earn exalted status with the Shen'dralar.,Reputation,,,https://icons.wowdb.com/retail/medium/inv_misc_book_17.jpg?41793
Time Flies When You're Having Fun,Earn Exalted status with your guild.,Reputation,,10,https://icons.wowdb.com/retail/medium/inv_epicguildtabard.jpg?41793
Only the Penitent...,Activate both of Fandral's Flames at once in Firelands without any raid member getting hit by Kneel to the Flame!,Cataclysm Raid,,10,https://icons.wowdb.com/retail/medium/achievement_firelands_raid_fandral_staghelm.jpg?41793
Firelands,Defeat the bosses in Firelands.,Cataclysm Raid,,10,https://icons.wowdb.com/retail/medium/achievement_zone_firelands.jpg?41793
Heroic: Ragnaros,Defeat Ragnaros in Firelands on Heroic Difficulty.,Cataclysm Raid,,10,https://icons.wowdb.com/retail/medium/achievement_firelands_raid_ragnaros.jpg?41793
Heroic: Majordomo Fandral Staghelm,Defeat Majordomo Fandral Staghelm in Firelands on Heroic Difficulty.,Cataclysm Raid,,10,https://icons.wowdb.com/retail/medium/achievement_firelands_raid_fandral_staghelm.jpg?41793
Heroic: Baleroc,Defeat Baleroc in Firelands on Heroic Difficulty.,Cataclysm Raid,,10,https://icons.wowdb.com/retail/medium/achievement_firelandsraid_balorocthegatekeeper.jpg?41793
Heroic: Shannox,Defeat Shannox in Firelands on Heroic Difficulty.,Cataclysm Raid,,10,https://icons.wowdb.com/retail/medium/achievement_boss_shannox.jpg?41793
Heroic: Beth'tilac,Defeat Beth'tilac in Firelands on Heroic Difficulty.,Cataclysm Raid,,10,https://icons.wowdb.com/retail/medium/achievement_boss_broodmotheraranae.jpg?41793
Heroic: Lord Rhyolith,Defeat Lord Rhyolith in Firelands on Heroic Difficulty.,Cataclysm Raid,,10,https://icons.wowdb.com/retail/medium/achievement_boss_lordanthricyst.jpg?41793
Heroic: Alysrazor,Defeat Alysrazor in Firelands on Heroic Difficulty.,Cataclysm Raid,,10,https://icons.wowdb.com/retail/medium/achievement_firelands_raid_alysra.jpg?41793
Not an Ambi-Turner,Defeat Lord Rhyolith in the Firelands without ever causing him to turn left while his armor is intact.,Cataclysm Raid,,10,https://icons.wowdb.com/retail/medium/misc_arrowright.jpg?41793
United Nations,Raise 55 reputations to Exalted.,Reputation,alliance,15,https://icons.wowdb.com/retail/medium/achievement_reputation_08.jpg?41793
Do a Barrel Roll!,Defeat Alysrazor in the Firelands without any raid member getting hit by the following attacks.,Cataclysm Raid,,10,https://icons.wowdb.com/retail/medium/spell_magic_polymorphrabbit.jpg?41793
Death from Above,Only kill Cinderweb Drones while they are atop the web canopy during the Beth'tilac encounter in Firelands.,Cataclysm Raid,,10,https://icons.wowdb.com/retail/medium/inv_misc_head_nerubian_01.jpg?41793
Veteran of the Alliance II,Win 150 rated battlegrounds.,Rated Battleground,alliance,10,https://icons.wowdb.com/retail/medium/inv_bannerpvp_02.jpg?41793
Veteran of the Horde II,Win 150 rated battlegrounds.,Rated Battleground,horde,10,https://icons.wowdb.com/retail/medium/inv_bannerpvp_01.jpg?41793
Avengers of Hyjal,Earn Exalted status with the Avengers of Hyjal.,Cataclysm,,15,https://icons.wowdb.com/retail/medium/inv_neck_hyjaldaily_04.jpg?41793
Glory of the Firelands Raider,Complete the Firelands raid achievements listed below.,Dungeons & Raids,,25,https://icons.wowdb.com/retail/medium/inv_mace_1h_sulfuron_d_01.jpg?41793
Bucket List,"During a single engagement, bring Shannox to each of the following locations in the Firelands before dispatching him:",Cataclysm Raid,,10,https://icons.wowdb.com/retail/medium/achievement_zone_firelands.jpg?41793
Share the Pain,Defeat Baleroc in the Firelands without allowing any member of your raid to suffer Torment more than three times.,Cataclysm Raid,,10,https://icons.wowdb.com/retail/medium/spell_shadow_painandsuffering.jpg?41793
Tricks and Treats of Northrend,Visit the Candy Buckets in Northrend.,Hallow's End,horde,10,https://icons.wowdb.com/retail/medium/inv_misc_food_26.jpg?41793
Tricks and Treats of Northrend,Visit the Candy Buckets in Northrend.,Hallow's End,alliance,10,https://icons.wowdb.com/retail/medium/inv_misc_food_26.jpg?41793
Tricks and Treats of the Cataclysm,Visit the Candy Buckets in Cataclysm zones.,Hallow's End,alliance,10,https://icons.wowdb.com/retail/medium/inv_misc_food_25.jpg?41793
Tricks and Treats of the Cataclysm,Visit the Candy Buckets in Cataclysm zones.,Hallow's End,horde,10,https://icons.wowdb.com/retail/medium/inv_misc_food_25.jpg?41793
"Dragonwrath, Tarecgosa's Rest","Owner of Dragonwrath, Tarecgosa's Rest.",Raids,,,https://icons.wowdb.com/retail/medium/stave_2h_tarecgosa_e_01stagefinal.jpg?41793
"Dragonwrath, Tarecgosa's Rest - Guild Edition","Owner of Dragonwrath, Tarecgosa's Rest.",Dungeons & Raids,,10,https://icons.wowdb.com/retail/medium/stave_2h_tarecgosa_e_01stagefinal.jpg?41793
Let's Do Lunch: Ironforge,Complete each of the Ironforge cooking daily quests.,Cooking,alliance,10,https://icons.wowdb.com/retail/medium/inv_cask_04.jpg?41793
Let's Do Lunch: Darnassus,Complete each of the Darnassus cooking daily quests.,Cooking,alliance,10,https://icons.wowdb.com/retail/medium/inv_misc_food_63.jpg?41793
Let's Do Lunch: Thunder Bluff,Complete each of the Thunder Bluff cooking daily quests.,Cooking,horde,10,https://icons.wowdb.com/retail/medium/inv_misc_food_pinenut.jpg?41793
Let's Do Lunch: Undercity,Complete each of the Undercity cooking daily quests.,Cooking,horde,10,https://icons.wowdb.com/retail/medium/inv_misc_food_meat_cooked_09.jpg?41793
A Bunch of Lunch,Complete each Let's Do Lunch achievement.,Cooking,,10,https://icons.wowdb.com/retail/medium/inv_misc_food_dimsum.jpg?41793
Fish or Cut Bait: Ironforge,Complete each of the Ironforge fishing daily quests.,Fishing,alliance,10,https://icons.wowdb.com/retail/medium/inv_fishingpole_02.jpg?41793
Fish or Cut Bait: Darnassus,Complete each of the Darnassus fishing daily quests.,Fishing,alliance,10,https://icons.wowdb.com/retail/medium/inv_fishingpole_06.jpg?41793
Fish or Cut Bait: Thunder Bluff,Complete each of the Thunder Bluff fishing daily quests.,Fishing,horde,10,https://icons.wowdb.com/retail/medium/inv_fishingpole_06.jpg?41793
Fish or Cut Bait: Undercity,Complete each of the Undercity fishing daily quests.,Fishing,horde,10,https://icons.wowdb.com/retail/medium/inv_fishingpole_07.jpg?41793
Gone Fishin',Complete each Fish or Cut Bait achievement.,Fishing,,10,https://icons.wowdb.com/retail/medium/inv_helmet_31.jpg?41793
A-Caroling We Will Go,Use your Winter Veil Chorus Book to carol in enemy capital cities during the Feast of Winter Veil.,Winter Veil,alliance,10,https://icons.wowdb.com/retail/medium/spell_holy_divinehymn.jpg?41793
A-Caroling We Will Go,Use your Winter Veil Chorus Book to carol in enemy capital cities during the Feast of Winter Veil.,Winter Veil,horde,10,https://icons.wowdb.com/retail/medium/spell_holy_divinehymn.jpg?41793
Ragnar-O's,Defeat Ragnaros while three Living Meteors are ignited by Lava Wave.,Cataclysm Raid,,10,https://icons.wowdb.com/retail/medium/achievement_firelands_raid_ragnaros.jpg?41793
Bear-ly Made It,Save all four prisoners before they are sacrificed in Zul'Aman on Heroic Difficulty.,Cataclysm Dungeon,,10,https://icons.wowdb.com/retail/medium/inv_misc_bearcubbrown.jpg?41793
